emp_id,emp_name,department,salary
101,Vaibhav Patil,HR,10000
104,Pratik Tayade,HR,20000
107,Yogesh Tayade,HR,20000
110,Akash Jadhav,HR,18000
113,Nikhil Deshmukh,HR,22000
116,Amol Chavan,HR,21000
119,Vishal Bhagat,HR,19000
122,Aniket Jagtap,HR,23000
125,Deepak More,HR,24000
128,Pankaj Kale,HR,17000
131,Tejas Deshmukh,HR,26000
134,Ramesh Jadhav,HR,21000
137,Kiran Tayade,HR,22000
140,Dinesh Chavan,HR,24000
143,Amit More,HR,25000
146,Sunil Wagh,HR,23000
149,Aditya Chavan,HR,27000
